"ANAL";"Method B - PO4&NO3.ANL";;;;;;;;;;;;;;
"RUN ";"150312BR1.RUN";;;;;;;;;;;;;;
"DATE";"12/03/2015";;;;;;;;;;;;;;
"TIME";"15:02:09";;;;;;;;;;;;;;
"OPER";"Antoine";;;;;;;;;;;;;;
"COMM";"manip julie";;;;;;;;;;;;;;
"TYPE";;;;;;;;;"Real";;;"Real";;;
"CHAN";;;;;;;;;1;;;2;;;
"METH";;;;;;;;;"PO4";;;"NO3";;;
"UNIT";;;;;;;;;;;;;;;
"Base";;;;;;;;;-5383;;;-6291;;;
"Gain";;;;;;;;;249;;;193;;;
"Lamp";;;;;;;;;5;;;282;;;
"Sample ID";"Peak Number";"Cup Number";"Cup Type";"Cup Group";;;"Date Time Stamp";;"Results 1";"AD Values";;"Results 2";"AD Values";;
"Primer";1;1;"PRIM";0;0;0;"12/03/2015 15:03:50";;1.994;59417;;2.006;58647;;
"Cal.";2;2;"CALB";0;0;0;"12/03/2015 15:04:50";2.000;2.001;59591;2.000;2.001;58515;;
"Cal.";3;3;"CALB";0;0;0;"12/03/2015 15:05:50";1.500;1.497;45399;1.500;1.493;44827;;
"Cal.";4;4;"CALB";0;0;0;"12/03/2015 15:06:50";1.000;1.002;31426;1.000;1.001;31601;;
"Cal.";5;5;"CALB";0;0;0;"12/03/2015 15:07:50";0.500;0.502;17310;0.500;0.512;18430;;
"Cal.";6;6;"CALB";0;0;0;"12/03/2015 15:08:50";0.200;0.198;8756;0.200;0.213;10371;;
"Cal.";7;7;"CALB";0;0;0;"12/03/2015 15:09:50";0.100;0.100;5970;0.100;0.080;6777;;
"Drift";8;8;"DRIF";0;0;0;"12/03/2015 15:10:50";;0.099;5952;;0.079;6755;;
"A4I";9;9;"SAMP";0;0;0;"12/03/2015 15:11:50";;0.817;26208;;2.185;63456;;
"A2I";10;10;"SAMP";0;0;0;"12/03/2015 15:12:50";;0.802;25780;;2.185;63469;;
"C1I";11;11;"SAMP";0;0;0;"12/03/2015 15:13:50";;0.716;23366;;2.213;64232;;
"A4I";12;12;"SAMP";0;0;0;"12/03/2015 15:14:50";;0.822;26342;;2.210;64154;;
"C2I";13;13;"SAMP";0;0;0;"12/03/2015 15:15:50";;0.763;24671;;2.061;60125;;
"B4I";14;14;"SAMP";0;0;0;"12/03/2015 15:16:50";;0.797;25644;;2.116;61624;;
"C1I";15;15;"SAMP";0;0;0;"12/03/2015 15:17:50";;0.715;23320;;2.182;63380;;
