"Time","Flags O2_Air","Value O2_Air","Unit O2_Air","Temp O2_Air","T.Unit O2_Air","Flags 02_2","Value 02_2","Unit 02_2","Temp 02_2","T.Unit 02_2","Flags O2_3","Value O2_3","Unit O2_3","Temp O2_3","T.Unit O2_3","Flags O2_4","Value O2_4","Unit O2_4","Temp O2_4","T.Unit O2_4","Flags pH_1","Value pH_1","Unit pH_1","Temp pH_1","T.Unit pH_1","Flags pH_2","Value pH_2","Unit pH_2","Temp pH_2","T.Unit pH_2","Flags pH_3","Value pH_3","Unit pH_3","Temp pH_3","T.Unit pH_3","Flags pH_4","Value pH_4","Unit pH_4","Temp pH_4","T.Unit pH_4","D130"
"11/03/2015 11:27:50","0","54,3","mV","25,0","°C","0","-704,2","mV","25,0","°C","16","0,2","mV","23,8","°C","0","-747,5","mV","25,0","°C","16","5,1","mV","25,4","°C","0","0,2","mV","25,0","°C","0","-0,9","mV","25,0","°C","0","3,1","mV","25,0","°C",""
"11/03/2015 11:28:10","0","54,3","mV","25,0","°C","0","-709,8","mV","25,0","°C","16","0,3","mV","23,9","°C","0","-748,4","mV","25,0","°C","16","5,2","mV","25,5","°C","0","0,3","mV","25,0","°C","0","-0,8","mV","25,0","°C","0","3,2","mV","25,0","°C",""
"11/03/2015 11:28:30","0","54,3","mV","25,0","°C","0","-707,6","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-742,0","mV","25,0","°C","16","5,1","mV","25,5","°C","0","0,2","mV","25,0","°C","0","-0,9","mV","25,0","°C","0","3,1","mV","25,0","°C",""
"11/03/2015 11:28:50","0","54,3","mV","25,0","°C","0","-692,3","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-730,9","mV","25,0","°C","16","5,5","mV","25,5","°C","0","0,5","mV","25,0","°C","0","-0,6","mV","25,0","°C","0","3,3","mV","25,0","°C",""
"11/03/2015 11:29:10","0","54,3","mV","25,0","°C","0","-702,2","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-739,8","mV","25,0","°C","16","5,4","mV","25,5","°C","0","0,5","mV","25,0","°C","0","-0,7","mV","25,0","°C","0","3,3","mV","25,0","°C",""
"11/03/2015 11:29:30","0","54,3","mV","25,0","°C","0","-708,0","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-747,2","mV","25,0","°C","16","5,2","mV","25,5","°C","0","0,3","mV","25,0","°C","0","-0,8","mV","25,0","°C","0","3,1","mV","25,0","°C",""
"11/03/2015 11:29:50","0","54,3","mV","25,0","°C","0","-697,4","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-739,5","mV","25,0","°C","16","5,5","mV","25,4","°C","0","0,5","mV","25,0","°C","0","-0,6","mV","25,0","°C","0","3,3","mV","25,0","°C",""
"11/03/2015 11:30:10","0","54,3","mV","25,0","°C","0","-700,3","mV","25,0","°C","16","0,3","mV","23,9","°C","0","-737,6","mV","25,0","°C","16","5,4","mV","25,4","°C","0","0,6","mV","25,0","°C","0","-0,6","mV","25,0","°C","0","3,4","mV","25,0","°C",""
"11/03/2015 11:30:30","0","54,3","mV","25,0","°C","0","-704,5","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-746,2","mV","25,0","°C","16","5,1","mV","25,4","°C","0","0,2","mV","25,0","°C","0","-0,9","mV","25,0","°C","0","3,1","mV","25,0","°C",""
"11/03/2015 11:30:50","0","54,3","mV","25,0","°C","0","-707,9","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-747,6","mV","25,0","°C","16","5,2","mV","25,4","°C","0","0,4","mV","25,0","°C","0","-0,9","mV","25,0","°C","0","3,1","mV","25,0","°C",""
"11/03/2015 11:31:10","0","54,3","mV","25,0","°C","0","-699,1","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-737,8","mV","25,0","°C","16","5,5","mV","25,4","°C","0","0,6","mV","25,0","°C","0","-0,6","mV","25,0","°C","0","3,3","mV","25,0","°C",""
"11/03/2015 11:31:30","0","54,3","mV","25,0","°C","0","-693,5","mV","25,0","°C","16","0,3","mV","23,9","°C","0","-733,0","mV","25,0","°C","16","5,4","mV","25,4","°C","0","0,5","mV","25,0","°C","0","-0,6","mV","25,0","°C","0","3,4","mV","25,0","°C",""
"11/03/2015 11:31:50","0","54,3","mV","25,0","°C","0","-703,1","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-745,0","mV","25,0","°C","16","5,4","mV","25,3","°C","0","0,5","mV","25,0","°C","0","-0,7","mV","25,0","°C","0","3,3","mV","25,0","°C",""
"11/03/2015 11:32:10","0","54,3","mV","25,0","°C","0","-706,3","mV","25,0","°C","16","0,2","mV","24,0","°C","0","-748,0","mV","25,0","°C","16","5,1","mV","25,4","°C","0","0,2","mV","25,0","°C","0","-0,9","mV","25,0","°C","0","3,1","mV","25,0","°C",""
"11/03/2015 11:32:30","0","54,3","mV","25,0","°C","0","-697,9","mV","25,0","°C","16","0,2","mV","24,0","°C","0","-736,5","mV","25,0","°C","16","5,5","mV","25,4","°C","0","0,6","mV","25,0","°C","0","-0,6","mV","25,0","°C","0","3,3","mV","25,0","°C",""
"11/03/2015 11:32:50","0","54,3","mV","25,0","°C","0","-699,4","mV","25,0","°C","16","0,2","mV","23,9","°C","0","-741,5","mV","25,0","°C","16","5,2","mV","25,3","°C","0","0,3","mV","25,0","°C","0","-0,8","mV","25,0","°C","0","3,2","mV","25,0","°C",""
