Time,Flags O2_Air,Value O2_Air,Unit O2_Air,Temp O2_Air,T.Unit O2_Air,Flags O2_2,Value O2_2,Unit O2_2,Temp O2_2,T.Unit O2_2,Flags O2_3,Value O2_3,Unit O2_3,Temp O2_3,T.Unit O2_3,Flags O2_4,Value O2_4,Unit O2_4,Temp O2_4,T.Unit O2_4,Flags pH_1,Value pH_1,Unit pH_1,Temp pH_1,T.Unit pH_1,Flags pH_2,Value pH_2,Unit pH_2,Temp pH_2,T.Unit pH_2,Flags pH_3,Value pH_3,Unit pH_3,Temp pH_3,T.Unit pH_3,Flags pH_4,Value pH_4,Unit pH_4,Temp pH_4,T.Unit pH_4,D130
"13/03/2015 0:01:05","0","53,6","mV","25,0","°C","0","-336,5","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-398,9","mV","25,0","°C","16","-52,3","mV","25,3","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:01:25","0","53,7","mV","25,0","°C","0","-332,0","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-393,7","mV","25,0","°C","16","-51,7","mV","25,3","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,3","mV","25,0","°C",""
"13/03/2015 0:01:45","0","53,6","mV","25,0","°C","0","-347,2","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-409,9","mV","25,0","°C","16","-52,3","mV","25,3","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,9","mV","25,0","°C",""
"13/03/2015 0:02:05","0","53,6","mV","25,0","°C","0","-345,7","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-408,4","mV","25,0","°C","16","-51,9","mV","25,3","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:02:25","0","53,7","mV","25,0","°C","0","-362,7","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-425,0","mV","25,0","°C","16","-52,0","mV","25,3","°C","0","-50,9","mV","25,0","°C","0","-50,5","mV","25,0","°C","0","-49,5","mV","25,0","°C",""
"13/03/2015 0:02:45","0","53,6","mV","25,0","°C","0","-370,1","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-433,5","mV","25,0","°C","16","-52,3","mV","25,3","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:03:05","0","53,6","mV","25,0","°C","0","-370,4","mV","25,0","°C","16","0,2","mV","22,6","°C","0","-428,0","mV","25,0","°C","16","-51,8","mV","25,3","°C","0","-50,8","mV","25,0","°C","0","-50,4","mV","25,0","°C","0","-49,4","mV","25,0","°C",""
"13/03/2015 0:03:25","0","53,7","mV","25,0","°C","0","-374,5","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-437,1","mV","25,0","°C","16","-51,7","mV","25,3","°C","0","-50,7","mV","25,0","°C","0","-50,3","mV","25,0","°C","0","-49,2","mV","25,0","°C",""
"13/03/2015 0:03:45","0","53,7","mV","25,0","°C","0","-391,2","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-455,1","mV","25,0","°C","16","-52,3","mV","25,3","°C","0","-51,1","mV","25,0","°C","0","-50,7","mV","25,0","°C","0","-49,8","mV","25,0","°C",""
"13/03/2015 0:04:05","0","53,7","mV","25,0","°C","0","-388,8","mV","25,0","°C","16","0,2","mV","22,7","°C","0","-453,1","mV","25,0","°C","16","-52,1","mV","25,3","°C","0","-51,0","mV","25,0","°C","0","-50,6","mV","25,0","°C","0","-49,7","mV","25,0","°C",""
