Id;Poids__g;Alk__mi;Sal__psu;Temp__oC
R1Is0;1614.96;2.055;34.8;25
R2Is0;1620.9;2.055;34.8;25
R3Is0;1588.22;2.055;34.8;25
R4Is0;1625.97;2.055;34.8;25
A1Ia1;427.45;2.055;34.8;25
A2Ia1;428.57;2.055;34.8;25
A3Ia1;427.75;2.055;34.8;25
A4Ia1;427.26;2.055;34.8;25
B1Ia2;426.65;2.055;34.8;25
B2Ia2;427;2.055;34.8;25
B3Ia2;427.26;2.055;34.8;25
B4Ia2;428.54;2.055;34.8;25
C1Ia3;426.36;2.055;34.8;25
C2Ia3;427.11;2.055;34.8;25
C3Ia3;428.92;2.055;34.8;25
C4Ia3;426.87;2.055;34.8;25
A1IIa4;427.39;2.055;34.8;25
A2IIa4;427.31;2.055;34.8;25
A3IIa4;427.84;2.055;34.8;25
A4IIa4;430.79;2.055;34.8;25
B1IIa5;426.42;2.055;34.8;25
B2IIa5;429.07;2.055;34.8;25
B3IIa5;427.14;2.055;34.8;25
B4IIa5;426.78;2.055;34.8;25
C1IIa6;430.8;2.055;34.8;25
C2IIa6;427.02;2.055;34.8;25
C3IIa6;428.53;2.055;34.8;25
C4IIa6;430.59;2.055;34.8;25
A1IIIa7;429.63;2.055;34.8;25
A2IIIa7;429.12;2.055;34.8;25
A3IIIa7;429.49;2.055;34.8;25
A4IIIa7;429.76;2.055;34.8;25
B1IIIa8;428.27;2.055;34.8;25
B2IIIa8;429.38;2.055;34.8;25
B3IIIa8;428.6;2.055;34.8;25
B4IIIa8;431.3;2.055;34.8;25
C1IIIa9;431.51;2.055;34.8;25
C2IIIa9;429.91;2.055;34.8;25
C3IIIa9;429.78;2.055;34.8;25
C4IIIa9;429.67;2.055;34.8;25
A1Is1;428.03;2.043;34.9;25
A2Is1;426.16;2.052;34.9;25
A3Is1;432.26;2.047;34.9;25
A4Is1;430.22;2.057;34.9;25
B1Is2;386.16;2.057;34.9;25
B2Is2;435.2;2.049;34.8;25
B3Is2;430.42;2.05;34.8;25
B4Is2;453.06;2.046;34.8;25
C1Is3;379.62;2.053;34.9;25
C2Is3;406.96;2.052;34.8;25
C3Is3;424.14;2.046;34.8;25
C4Is3;411.98;2.045;34.8;25
A1IIs4;452.31;2.062;34.9;25
A2IIs4;442.36;2.052;34.8;25
A3IIs4;440.33;2.043;34.8;25
A4IIs4;432.05;2.044;34.8;25
B1IIs5;412.93;2.05;34.9;25
B2IIs5;437.21;2.057;34.8;25
B3IIs5;423.98;2.058;34.8;25
B4IIs5;446.32;2.054;34.8;25
C1IIs6;440.35;2.058;34.9;25
C2IIs6;417.04;2.055;34.8;25
C3IIs6;420.52;2.049;34.8;25
C4IIs6;412.69;2.056;34.8;25
A1IIIs7;434.07;2.045;35;25
A2IIIs7;429.84;2.05;34.8;25
A3IIIs7;439.94;2.051;34.8;25
A4IIIs7;428.7;2.051;34.8;25
B1IIIs8;418.62;2.056;35;25
B2IIIs8;437.67;2.052;34.8;25
B3IIIs8;425.52;2.055;34.8;25
B4IIIs8;451.32;2.057;34.8;25
C1IIIs9;437.06;2.058;34.9;25
C2IIIs9;419.76;2.063;34.8;25
C3IIIs9;421.51;2.057;34.8;25
C4IIIs9;411.78;2.058;34.9;25
