Id,Weight__g,Weight__kg
A1II,226.28,0.23
A2II,227.11,0.23
A3II,227.09,0.23
A4II,228.1,0.23
B1II,226.8,0.23
B2II,227.16,0.23
B3II,227.1,0.23
B4II,227.17,0.23
C1II,228.24,0.23
C2II,227.15,0.23
C3II,228.47,0.23
C4II,228.16,0.23
A1I,227.23,0.23
A2I,226.98,0.23
A3I,227.12,0.23
A4I,227.12,0.23
B1I,227.11,0.23
B2I,227.1,0.23
B3I,227.03,0.23
B4I,228.31,0.23
C1I,227.2,0.23
C2I,227.15,0.23
C3I,228.35,0.23
C4I,227.24,0.23
R1I,654.15,0.65
R2I,650.56,0.65
R3I,646.55,0.64
R4I,650.1,0.64
R1II,647.34,0.65
R2II,646.53,0.65
R3II,646.15,0.65
R4II,650.6,0.65
